code,best_description,sources_available
B2102,Antenna Circuit Short to Ground,"fieldlogix,gist"
B2103,Antenna Not Connected,"fieldlogix,gist"
B2104,Door Passenger Key Cylinder Switch Failure,"fieldlogix,gist"
B2105,Throttle Position Input Out of Range Low,"fieldlogix,gist"
B2106,Throttle Position Input Out of Range High,"fieldlogix,gist"
B2107,Front Wiper Motor Relay Circuit Short to Vbatt,"fieldlogix,gist"
B2108,Trunk Key Cylinder Switch Failure,"fieldlogix,gist"
B2109,Heated Wind Shield Relay Short to Vbatt (changed from Failure 2/6/97),"fieldlogix,gist"
B2110,Front Wiper Motor Relay Circuit Open (changed from Failure 2/6/97),"fieldlogix,gist"
B2111,All Door Lock Input Short to Ground,"fieldlogix,gist"
B2112,Door Driver Set Switch Stuck Failure,"fieldlogix,gist"
B2113,Heated Windshield Input Short to Ground,"fieldlogix,gist"
B2114,Front Washer Input Short to Ground,"fieldlogix,gist"
B2115,Rear Washer Input Short to Ground,"fieldlogix,gist"
B2116,Door Driver Reset Switch Stuck Failure,"fieldlogix,gist"
B2117,"Driver Side, Side mount Airbag Low capacitance on Squib","fieldlogix,gist"
B2118,"Passenger Sid, Side mount Airbag Low capacitance on Squib","fieldlogix,gist"
B2119,Compressor Failure,"fieldlogix,gist"
B2120,Door Passenger Set Switch Stuck Failure,"fieldlogix,gist"
B2122,Driver Side Satellite Communication Circuit Short to Ground,"fieldlogix,gist"
B2123,Passenger Side Satellite Communication Circuit Short to Ground,"fieldlogix,gist"
B2124,Door Passenger Reset Switch Stuck Failure,"fieldlogix,gist"
B2128,Central Lock Motor Failure,"fieldlogix,gist"
B2129,Central Lock Feedback Failure,"fieldlogix,gist"
B2130,Double Lock Timeout Failure,"fieldlogix,gist"
B2131,Double Lock Feedback Failure,"fieldlogix,gist"
B2132,Dimmer switch Circuit Short to Gnd,"fieldlogix,gist"
B2133,Brake Motor Warning lamp Circuit Failure,"fieldlogix,gist"
B2134,Brake Motor Warning lamp Circuit Short to Vbatt,"fieldlogix,gist"
B2135,Park Brake Applied Warning Lamp Circuit Failure,"fieldlogix,gist"
B2136,Park Brake Applied Warning Lamp Circuit Short To Battery,"fieldlogix,gist"
B2139,Data Mismatch (receive data does not match what was expected),"fieldlogix,gist"
B2141,NVM Configuration Failure,"fieldlogix,gist"
B2142,NVM TIC Failure,"fieldlogix,gist"
B2143,NVM Memory Failure,"fieldlogix,gist"
B2144,NVM Alarm Data Failure,"fieldlogix,gist"
B2145,NVM RF HR Failure,"fieldlogix,gist"
B2146,Seat Recline Motor Position Out of Range,"fieldlogix,gist"
B2148,PWM Input Circuit Failure,"fieldlogix,gist"
B2149,Seat Front Vertical Motor Position Out of Range,"fieldlogix,gist"
B2150,Power Supply #1 Circuit Short to Ground,"fieldlogix,gist"
B2151,Power Supply #2 Circuit Short to Ground,"fieldlogix,gist"
B2152,Seat Rear Vertical Motor Position Out of Range,"fieldlogix,gist"
B2153,Rear Echo Sensor Circuit Failure,"fieldlogix,gist"
B2154,Front Echo Sensor Circuit Failure,"fieldlogix,gist"
B2155,Seat Horizontal Motor Position Out of Range,"fieldlogix,gist"
B2156,Rear Doppler Sensor Circuit Failure,"fieldlogix,gist"
B2157,Front Doppler Sensor Circuit Failure,"fieldlogix,gist"
B2158,Seat Recline Motor Memory Position Out of Range,"fieldlogix,gist"
B2159,Memory #1 output Short to Ground,"fieldlogix,gist"
B2160,Memory #1 output Short to VBatt,"fieldlogix,gist"
B2161,Seat Front Vertical Motor Memory Position Out of Range,"fieldlogix,gist"
B2162,Data Mismatch #2 (receive data does not match what was expected),"fieldlogix,gist"
B2163,Clutch Position Fault,"fieldlogix,gist"
B2164,Seat Rear Vertical Motor Memory Position Out of Range,"fieldlogix,gist"
B2165,Gear shift position Fault,"fieldlogix,gist"
B2166,Gear select position Fault,"fieldlogix,gist"
B2167,Seat Horizontal Motor Memory Position Out of Range,"fieldlogix,gist"
B2168,Unable to confirm Unlock Condition,"fieldlogix,gist"
B2169,Unable to confirm lock Condition,"fieldlogix,gist"
B2170,Steering Column Lock Switch Circuit Failure,"fieldlogix,gist"
B2172,Inertia Switch input Circuit Open,"fieldlogix,gist"
B2174,Window Driver Rear Remote Up Switch Short to Battery,"fieldlogix,gist"
B2175,A/C Request Signal Circuit Short to Ground,"fieldlogix,gist"
B2176,Overdrive switch circuit short to Vbatt,"fieldlogix,gist"
B2177,Interior Scanning Sensor Circuit Failure,"fieldlogix,gist"
B2178,Window Driver Rear Remote Down Switch Short to Battery,"fieldlogix,gist"
B2179,Front Wiper Select Switch A Short to Ground,"fieldlogix,gist"
B2180,Front Wiper Select Switch B Short to Ground,"fieldlogix,gist"
B2181,Front Wiper Select Switch C Short to Ground,"fieldlogix,gist"
B2182,Window Passenger Front Remote Up Switch Short to Battery,"fieldlogix,gist"
B2183,Front Wiper Select Switch H Short to Ground,"fieldlogix,gist"
B2184,Front Wiper Select Switch W Short to Ground,"fieldlogix,gist"
B2185,Rear Wiper Select Switch D Short to Ground,"fieldlogix,gist"
B2186,Window Passenger Front Remote Down Switch Short to Battery,"fieldlogix,gist"
B2187,Rear Wiper Select Switch B Short to Ground,"fieldlogix,gist"
B2188,Rear Wiper Select Switch E Short to Ground,"fieldlogix,gist"
B2190,Window Passenger Rear Remote Up Switch Short to Battery,"fieldlogix,gist"
B2194,Window Passenger Rear Remote Down Switch Short to Battery,"fieldlogix,gist"
B2195,Driver Window Up / Down Power Circuit Short to Ground,"fieldlogix,gist"
B2196,Passenger Window Up / Down Power Circuit Short to Ground,"fieldlogix,gist"
B2197,TV Module Error,"fieldlogix,gist"
B2198,TrafficMaster Module Error,"fieldlogix,gist"
B2199,VICS Module Error,"fieldlogix,gist"
B2200,No Communication to TV Module (No Fitting of TV),"fieldlogix,gist"
B2201,No Communication With Traffic MasterModule,"fieldlogix,gist"
B2202,No Communication to VICS Module (No Fitting of VICS),"fieldlogix,gist"
B2203,CD-ROM Error,"fieldlogix,gist"
B2204,GPS Antenna Connection Open or Short,"fieldlogix,gist"
B2205,GPS Receiver Error,"fieldlogix,gist"
B2206,Gyroscope Error,"fieldlogix,gist"
B2207,ECU ROM Checksum Error,"fieldlogix,gist"
B2208,Communication Link to Display and Switch Module Error,"fieldlogix,gist"
B2209,Interior Lamp Override Switch Open Circuit,"fieldlogix,gist"
B2210,Interior Lamp Override Switch Short to Ground,"fieldlogix,gist"
B2211,Low Coolant Lamp Output Circuit Short to Battery,"fieldlogix,gist"
B2214,Window Passenger Front Up Switch Short to Battery,"fieldlogix,gist"
B2215,Window Passenger Front Down Switch Short to Battery,"fieldlogix,gist"
B2219,Window Driver Front Current Feedback Exceeded,"fieldlogix,gist"
B2220,Window Driver Rear Current Feedback Exceeded,"fieldlogix,gist"
B2221,Window Passenger Front Current Feedback Exceeded,"fieldlogix,gist"
B2222,Window Passenger Rear Current Feedback Exceeded,"fieldlogix,gist"
B2223,Mirror Driver Drive Circuit Failure,"fieldlogix,gist"
B2224,Mirror Passenger Drive Circuit Failure,"fieldlogix,gist"
B2225,Front Crash Sensor Mount Fault,"fieldlogix,gist"
B2226,Front Crash Sensor Internal Fault,"fieldlogix,gist"
B2227,Front Crash Sensor Driver Communications Fault,"fieldlogix,gist"
B2228,Air Bag Driver Circuit Short to Ground - Loop #2,"fieldlogix,gist"
B2229,Air Bag Passenger Circuit Short to Ground - Loop #2,"fieldlogix,gist"
B2230,Air Bag Driver Circuit Short to Battery - Loop #2,"fieldlogix,gist"
B2231,Air Bag Passenger Circuit Short to Battery - Loop #2,"fieldlogix,gist"
B2232,Air Bag Driver Circuit Open - Loop #2,"fieldlogix,gist"
B2233,Air Bag passenger Circuit Open - Loop #2,"fieldlogix,gist"
B2234,Air Bag Driver Inflator Circuit Resistance Low on Squib - Loop #2,"fieldlogix,gist"
B2235,Air Bag Passenger Inflator Circuit,"fieldlogix,gist"
B2236,Weak or Defected Electric Vehicle Battery Module Fault,"fieldlogix,gist"
B2237,Vehicle Signal indicating Park While VSS Present,"fieldlogix,gist"
B2238,Power Cable For Power Sliding Door Broken,"fieldlogix,gist"
B2239,Rear Cargo Door Set Switch Stuck (Short to Ground),"fieldlogix,gist"
B2240,Rear Cargo Door Reset Switch Stuck (Short to Ground),"fieldlogix,gist"
B2241,Rear Cargo Door Lock Circuit Short to Ground,"fieldlogix,gist"
B2242,Rear Cargo Door Unlock Circuit Open,"fieldlogix,gist"
B2243,Driver Rear Door Ajar Circuit Open,"fieldlogix,gist"
B2244,Driver Sliding Door Ajar Circuit Short to GND,"fieldlogix,gist"
B2245,Passenger Rear Door Ajar Circuit Open,"fieldlogix,gist"
B2246,Passenger Sliding Door Ajar Circuit Short to GND,"fieldlogix,gist"
B2247,EV Battery Pack Temperature Fault,"fieldlogix,gist"
B2248,Heated Windshield Relay Coil Circuit Failure,"fieldlogix,gist"
B2249,Head Lamp Relay Coil Short to Battery,"fieldlogix,gist"
B2250,All Doors Unlock Relay Circuit Failure,"fieldlogix,gist"
B2251,Parklamp Output Relay Driver Circuit Failure,"fieldlogix,gist"
B2252,Parklamp Output Relay Dirver Short to Battery,"fieldlogix,gist"
B2300,Seat Driver Memory Position Error,"fieldlogix,gist"
B2301,Seat Passenger Memory Position Error,"fieldlogix,gist"
B2302,Seat Headrest Feedback Potentiometer Circuit Failure,"fieldlogix,gist"
B2303,Seat Headrest Feedback Potentiometer Circuit Open,"fieldlogix,gist"
B2304,Seat Headrest Feedback Potentiometer Circuit Short to Battery,"fieldlogix,gist"
B2305,Seat Headrest Feedback Potentiometer Circuit Short to Ground,"fieldlogix,gist"
B2306,Seat Headrest Motor Stalled,"fieldlogix,gist"
B2310,Mirror Driver Memory Position Error,"fieldlogix,gist"
B2311,Mirror Passenger Memory Position Error,"fieldlogix,gist"
B2312,Mirror Passenger Horizontal Feedback Potentiometer Circuit Failure,"fieldlogix,gist"
B2313,Mirror Passenger Horizontal Feedback Potentiometer Circuit Open,"fieldlogix,gist"
B2314,Mirror Passenger Horizontal Feedback Potentiometer Circuit Short to Battery,"fieldlogix,gist"
B2315,Mirror Passenger Horizontal Feedback Potentiometer Circuit Short to Ground,"fieldlogix,gist"
B2316,Mirror Passenger Vertical Feedback Potentiometer Circuit Failure,"fieldlogix,gist"
B2317,Mirror Passenger Vertical Feedback Potentiometer Circuit Open,"fieldlogix,gist"
B2318,Mirror Passenger Vertical Feedback Potentiometer Circuit Short to Battery,"fieldlogix,gist"
B2319,Mirror Passenger Vertical Feedback Potentiometer Circuit Short to Ground,"fieldlogix,gist"
B2320,Mirror Driver Horizontal Feedback Potentiometer Circuit Failure,"fieldlogix,gist"
B2321,Mirror Driver Horizontal Feedback Potentiometer Circuit Open,"fieldlogix,gist"
B2322,Mirror Driver Horizontal Feedback Potentiometer Circuit Short to Battery,"fieldlogix,gist"
B2323,Mirror Driver Horizontal Feedback Potentiometer Circuit Short to Ground,"fieldlogix,gist"
B2324,Mirror Driver Vertical Feedback Potentiometer Circuit Failure,"fieldlogix,gist"
B2325,Mirror Driver Vertical Feedback Potentiometer Circuit Open,"fieldlogix,gist"
B2326,Mirror Driver Vertical Feedback Potentiometer Circuit Short to Battery,"fieldlogix,gist"
B2327,Mirror Driver Vertical Feedback Potentiometer Circuit Short to Ground,"fieldlogix,gist"
B2328,Column Reach Feedback Potentiometer Circuit Failure,"fieldlogix,gist"
B2329,Column Reach Feedback Potentiometer Circuit Open,"fieldlogix,gist"
B2330,Column Reach Feedback Potentiometer Circuit Short to Battery,"fieldlogix,gist"
B2331,Column Reach Feedback Potentiometer Circuit Short to Ground,"fieldlogix,gist"
B2332,Column Tilt Feedback Potentiometer Circuit Failure,"fieldlogix,gist"
B2333,Column Tilt Feedback Potentiometer Circuit Open,"fieldlogix,gist"
B2334,Column Tilt Feedback Potentiometer Circuit Short to Battery,"fieldlogix,gist"
B2335,Column Tilt Feedback Potentiometer Circuit Short to Ground,"fieldlogix,gist"
B2336,Mirror Switch Assembly Circuit Failure,"fieldlogix,gist"
B2337,Mirror Switch Assembly Circuit Open,"fieldlogix,gist"
B2338,Mirror Switch Assembly Circuit Short to Battery,"fieldlogix,gist"
B2339,Mirror Switch Assembly Circuit Short to Ground,"fieldlogix,gist"
B2340,Column Reach Motor Stalled,"fieldlogix,gist"
B2341,Column Tilt Motor Stalled,"fieldlogix,gist"
B2342,Seat Switch Reference Voltage Positive Common Open Circuit,"fieldlogix,gist"
B2343,Seat Switch Reference Voltage Positive Common Supply Low Voltage,"fieldlogix,gist"
B2344,Seat Switch Reference Voltage Positive Common Supply Voltage Fault,"fieldlogix,gist"
B2345,Seat Switch Reference Voltage Negative Common Open Circuit,"fieldlogix,gist"
B2346,Mirror Switch Reference Voltage Positive Common Open Circuit,"fieldlogix,gist"
B2347,Mirror Switch Reference Voltage Positive Common Supply Low Voltage,"fieldlogix,gist"
B2348,Mirror Switch Reference Voltage Positive Common Supply Voltage Fault,"fieldlogix,gist"
B2349,Mirror Switch Reference Voltage Negative Common Open Circuit,"fieldlogix,gist"
B2350,Steering Column Switch Circuit Short to Battery,"fieldlogix,gist"
B2351,Steering Column Switch Circuit Failure,"fieldlogix,gist"
B2352,Driver Memory Power Switch Indicator Circuit Short to Battery,"fieldlogix,gist"
B2353,Driver Mirror Power Driver Circuit Short Ground,"fieldlogix,gist"
B2354,Driver Mirror Horizontal / Vertical Feedback Potentiometer Circuit Open,"fieldlogix,gist"
B2355,Passenger Mirror Horizontal / Vertical Feedback Potentiometer Circuit Open,"fieldlogix,gist"
B2357,Driver Window Down Current Sense Low Circuit Failure,"fieldlogix,gist"
B2362,Remote Open/Close signal Circuit Short to Ground,"fieldlogix,gist"
B2363,Optical Sensor System Failure,"fieldlogix,gist"
B2364,Fuel Filler Door Circuit Open,"fieldlogix,gist"
B2365,B-pillar Power Sliding Door Open/Close Switch Input Ckt Short to Gnd,"fieldlogix,gist"
B2366,IP Power Sliding Door Open/Close switch Ckt Short to Gnd,"fieldlogix,gist"
B2367,Power Sliding Door Override Switch Input Ckt Short to Gnd,"fieldlogix,gist"
B2368,Steering Column Switch Circuit Out of Range,"fieldlogix,gist"
B2369,Chime OUTPUT Request Ckt Short to Ground,"fieldlogix,gist"
B2373,LED #1 Circuit Short to Battery,"fieldlogix,gist"
B2374,Power Sliding Detent (Latch) Circuit Failure,"fieldlogix,gist"
B2380,Heater Coolant Temp sensor circuit Short to GND,"fieldlogix,gist"
B2381,Heater Coolant Temp sensor circuit Open,"fieldlogix,gist"
B2384,Audio Reverse Aid Mute Input Ckt Failure,"fieldlogix,gist"
B2385,Audio Navigation Mute Input Ckt Failure,"fieldlogix,gist"
B2401,Audio Tape Deck Mechanism Fault,"fieldlogix,gist"
B2402,Audio CD/DJ Thermal Shutdown Fault,"fieldlogix,gist"
B2403,Audio CD/DJ Internal Fault,"fieldlogix,gist"
B2404,Audio Steering Wheel Switch Circuit Fault,"fieldlogix,gist"
B2405,Audio Single-Disc CD Player Thermal Shutdown Fault,"fieldlogix,gist"
B2406,Audio Single-Disc CD Player Internal Fault,"fieldlogix,gist"
B2416,Climate Control Recirculation Actuator Out of Limits,"fieldlogix,gist"
B2425,Remote Keyless Entry Out of Synchronization,"fieldlogix,gist"
B2426,Passenger Solar Radiation Sensor Circuit Open,"fieldlogix,gist"
B2427,Passenger Solar Radiation Sensor Circuit Short to Ground,"fieldlogix,gist"
B2428,A/C Post Heater Sensor #2 Circuit Failure,"fieldlogix,gist"
B2429,A/C Post Heater Sensor #2 Circuit Short to Ground,"fieldlogix,gist"
B2431,Transponder Programming Failed,"fieldlogix,gist"
B2432,Drivers Seat Belt Buckle Switch Circuit Open,"fieldlogix,gist"
B2433,Drivers Seat Belt Buckle Switch Circuit Short to Battery,"fieldlogix,gist"
B2434,Drivers Seat Belt Buckle Switch Circuit Short to Ground,"fieldlogix,gist"
B2435,Drivers Seat Belt Buckle Switch Resistance out of Range,"fieldlogix,gist"
B2436,Passengers Seat Belt Buckle Switch Circuit Open,"fieldlogix,gist"
B2437,Passengers Seat Belt Buckle Switch Circuit Short to Battery,"fieldlogix,gist"
B2438,Passengers Seat Belt Buckle Switch Circuit Short to Ground,"fieldlogix,gist"
B2439,Passengers Seat Belt Buckle Switch Resistance out of Range,"fieldlogix,gist"
B2440,"Passenger Sid, Side crash sensor mount fault","fieldlogix,gist"
B2441,"Driver Sid, Side crash sensor mount fault","fieldlogix,gist"
B2442,Intrusion Sensor Fault,"fieldlogix,gist"
B2443,Powertrain Performance Mode Switch Circuit failure,"fieldlogix,gist"
B2444,Driver Side Crash Sensor Internal Fault,"fieldlogix,gist"
B2445,Passenger Side Crash Sensor Internal Fault,"fieldlogix,gist"
B2446,RESCU/VEMS Input Circuit Open,"fieldlogix,gist"
B2447,RESCU/VEMS Input Circuit Short to Battery,"fieldlogix,gist"
B2448,RESCU/VEMS Input Circuit Short to Ground,"fieldlogix,gist"
B2449,Aux Heater Glow Plug Circuit Short to Ground,"fieldlogix,gist"
B2450,Aux Heater Glow Plug Circuit Open,"fieldlogix,gist"
B2451,Aux Heater Fuel Pump Circuit Short to Ground,"fieldlogix,gist"
B2452,Aux Heater Fuel Pump Circuit Open,"fieldlogix,gist"
B2453,Aux Heater Blower Fan Circuit Short to Ground,"fieldlogix,gist"
B2454,Aux Heater Blower Fan Circuit Open,"fieldlogix,gist"
B2455,Aux Heater Blower Faulted,"fieldlogix,gist"
B2456,Aux Heater Coolant Sensor Circuit Short to Ground,"fieldlogix,gist"
B2457,Aux Heater Coolant Sensor Circuit Open,"fieldlogix,gist"
B2458,Aux Heater Overheat Sensor Circuit Short to Ground,"fieldlogix,gist"
B2459,Aux Heater Overheat Sensor Circuit Open,"fieldlogix,gist"
B2460,Aux Heater Flame Sensor Circuit Short to Ground,"fieldlogix,gist"
B2461,Aux Heater Flame Sensor Circuit Open,"fieldlogix,gist"
B2462,Aux Heater Flame Out Fault,"fieldlogix,gist"
B2463,Aux Heater Overheat Fault,"fieldlogix,gist"
B2464,Aux Heater Start Time Exceeded,"fieldlogix,gist"
B2465,Aux Heater Start Counter Overrun/System Locked (same as below ?),"fieldlogix,gist"
B2466,Aux Heater Overheat Counter Overrun/System Locked,"fieldlogix,gist"
B2467,Aux Heater Cool Down Time Exceeded (may be con to a453-5 ),"fieldlogix,gist"
B2468,Aux Heater Coolant Pump Circuit Short to Ground,"fieldlogix,gist"
B2469,Aux Heater Coolant Pump Circuit Open,"fieldlogix,gist"
B2470,Interior Fan Control Circuit Short to Ground,"fieldlogix,gist"
B2471,Interior Fan Control Circuit Open,"fieldlogix,gist"
B2472,Fog Lamp Switch Failure,"fieldlogix,gist"
B2473,Passenger Door Disarm Switch ckt Short to Ground,"fieldlogix,gist"
B2474,Passenger Door Lock Switch Circuit Shorted to Ground,"fieldlogix,gist"
B2475,Passenger Door Unlock Switch Circuit Shorted to Ground,"fieldlogix,gist"
B2476,RADIO PRESENT SWITCH Ckt Failure,"fieldlogix,gist"
B2477,Module Configuration Failure,"fieldlogix,gist"
B2478,ANTI THEFT INPUT SIGNAL SHORT TO GROUND,"fieldlogix,gist"
B2479,BRAKE PARK SWITCH CIRCUIT SHORT TO GROUND,"fieldlogix,gist"
B2480,LF CORNER LAMP OUTPUT Ckt Short to Battery,"fieldlogix,gist"
B2481,Convertible Top Up/Down switch Fault,"fieldlogix,gist"
B2482,RF CORNER LAMP OUTPUT Ckt Short to Battery,"fieldlogix,gist"
B2483,Enable Signal Open Circuit,"fieldlogix,gist"
B2484,Disable Signal Short to Ground,"fieldlogix,gist"
B2485,LF SIDE REPEATER LAMP OUTPUT Ckt Short to Battery,"fieldlogix,gist"
B2487,RF SIDE REPEATER LAMP OUTPUT Ckt Short to Battery,"fieldlogix,gist"
B2489,UNDERHOOD LAMP OUTPUT CIRCUIT Failure,"fieldlogix,gist"
B2490,UNDERHOOD LAMP OUTPUT CIRCUIT Short to Battery,"fieldlogix,gist"
B2491,RF PARK LAMP OUTPUT CIRCUIT Short to Battery,"fieldlogix,gist"
B2492,Already Programmed (Test Mode DTC Only !!!),"fieldlogix,gist"
B2493,LF PARK LAMP OUTPUT CIRCUIT Short to Battery,"fieldlogix,gist"
B2494,ANTI THEFT HORN OUTPUT CIRCUIT Short to Batt,"fieldlogix,gist"
B2495,ANTI THEFT HORN OUTPUT CIRCUIT Failure,"fieldlogix,gist"
B2496,ANTI THEFT HORN OUTPUT CIRCUIT Short to Gnd,"fieldlogix,gist"
B2499,COURTESY LAMP OUTPUT Failure,"fieldlogix,gist"
B2500,COURTESY LAMP OUTPUT Ckt Short to Battery,"fieldlogix,gist"
B2501,LF LAMP LOW BEAM CIRCUIT Failure,"fieldlogix,gist"
B2502,LF LAMP LOW BEAM CIRCUIT Short to Battery,"fieldlogix,gist"
B2503,RF LAMP LOW BEAM CIRCUIT Failure,"fieldlogix,gist"
B2504,RF LAMP LOW BEAM CIRCUIT Short to Battery,"fieldlogix,gist"
B2505,LF LAMP HIGH BEAM CIRCUIT Failure,"fieldlogix,gist"
B2506,LF LAMP HIGH BEAM CIRCUIT Short to Battery,"fieldlogix,gist"
B2507,RF LAMP HIGH BEAM CIRCUIT Failure,"fieldlogix,gist"
B2508,RF LAMP HIGH BEAM CIRCUIT Short to Battery,"fieldlogix,gist"
B2509,Rear Fog Lamp Switch Circuit Failure,"fieldlogix,gist"
B2510,Main Blower Motor Relay Circuit Short to Battery,"fieldlogix,gist"
B2511,Horn Output Relay Circuit Short to Battery,"fieldlogix,gist"
B2512,Front Fog Lamp Relay Ckt Short to Battery,"fieldlogix,gist"
B2513,Blower (Fan) Circuit Failure,"fieldlogix,gist"
B2514,Blower (Fan) Circuit Short to Vbatt,"fieldlogix,gist"
B2515,Heater Blower Relay Circuit Failure,"fieldlogix,gist"
B2516,Blower Control Circuit Failure,"fieldlogix,gist"
B2517,Emergency Power Off System Faulted,"fieldlogix,gist"
B2518,Compressor Overtemp Fault,"fieldlogix,gist"
B2519,High Mount Stop Lamp Circuit Failure,"fieldlogix,gist"
B2520,High Mount Stop Lamp Circuit Short to Battery,"fieldlogix,gist"
B2523,License Lamp Circuit Failure,"fieldlogix,gist"
B2524,License Lamp Circuit Short to Battery,"fieldlogix,gist"
B2525,Left Rear Backup Lamp Circuit Failure,"fieldlogix,gist"
B2526,Left Rear Backup Lamp Circuit Short to Battery,"fieldlogix,gist"
B2527,Left Rear Stop lamp Circuit Failure,"fieldlogix,gist"
B2528,Left Rear Stop lamp Circuit Short to Battery,"fieldlogix,gist"
B2529,Left Rear Turn Lamp Circuit Failure,"fieldlogix,gist"
B2530,Left Rear Turn Lamp Circuit Short to Battery,"fieldlogix,gist"
B2531,Right Rear Backup Lamp Circuit Failure,"fieldlogix,gist"
B2532,Right Rear Backup Lamp Circuit Short to Battery,"fieldlogix,gist"
B2533,Right Rear Stop lamp Circuit Failure,"fieldlogix,gist"
B2534,Right Rear Stop lamp Circuit Short to Battery,"fieldlogix,gist"
B2535,Right Rear Turn Lamp Circuit Failure,"fieldlogix,gist"
B2536,Right Rear Turn Lamp Circuit Short to Battery,"fieldlogix,gist"
B2539,Aux A/C Mode Position Reference Circuit Short to Ground,"fieldlogix,gist"
B2540,Aux A/C Mode Position Reference Circuit Short to Battery,"fieldlogix,gist"
B2543,Aux A/C Control Switch Reference Circuit Short to Ground,"fieldlogix,gist"
B2544,Aux A/C Control Switch Reference Circuit Short to Battery,"fieldlogix,gist"
B2545,System Power Relay Circuit Short to Battery,"fieldlogix,gist"
B2546,System Power Relay Circuit Failure,"fieldlogix,gist"
B2550,LAMP DOME OUTPUT Circuit Short to Ground,"fieldlogix,gist"
B2553,Disable Signal Output Circuit Short to Battery,"fieldlogix,gist"
B2554,LAMP DOME OUTPUT Circuit Failure,"fieldlogix,gist"
B2555,LAMP DOME OUTPUT Circuit Short to Battery,"fieldlogix,gist"
B2556,Enable Signal Circuit Short to Battery,"fieldlogix,gist"
B2557,Left Power Sliding Door Open/Close Output Circuit Short to Battery,"fieldlogix,gist"
B2558,Right Power Sliding Door Open/Close Output Circuit Short to Battery,"fieldlogix,gist"
B2559,Aux A/C Blower Motor Relay Circuit Short to Battery,"fieldlogix,gist"
B2560,Aux A/C Blower Motor Relay Circuit Short to Ground,"fieldlogix,gist"
B2561,Aux A/C Blower Speed 1 Circuit Failure,"fieldlogix,gist"
B2562,Aux A/C Blower Speed 1 Circuit Short to Ground,"fieldlogix,gist"
B2563,Aux A/C Blower Speed 2 Circuit Failure,"fieldlogix,gist"
B2564,Aux A/C Blower Speed 2 Circuit Short to Ground,"fieldlogix,gist"
B2565,Right Tail Lamp Circuit Failure,"fieldlogix,gist"
B2566,Right Tail Lamp Circuit Short to Ground,"fieldlogix,gist"
B2567,Reverse Mirror Output Circuit Failure,"fieldlogix,gist"
B2568,Reverse Mirror Output Circuit Short to Ground,"fieldlogix,gist"
B2569,Liftgate Disarm Switch Circuit Short to Ground,"fieldlogix,gist"
B2570,Right Lamp Outage Signal Circuit Short to Ground,"fieldlogix,gist"
B2571,Left Lamp Outage Signal Circuit Short to Ground,"fieldlogix,gist"
B2580,Aux Blower Sense Switch Circuit Failure,"fieldlogix,gist"
B2581,Passenger Seat Occupant Detection Circuit Short To Ground,"fieldlogix,gist"
B2582,Passenger Seat Occupant Detection Circuit Open,"fieldlogix,gist"
B2583,Child Seat Detection Circuit Short to Ground,"fieldlogix,gist"
B2584,Child Seat Detection Circuit Open,"fieldlogix,gist"
B2585,Anti Theft Input Signal Circuit Short To Battery,"fieldlogix,gist"
B2586,Headlamp Mode Select Circuit Failure,"fieldlogix,gist"
B2587,Passenger Seat Occupant Detection Circuit Short To Battery,"fieldlogix,gist"
B2588,Child Seat Detection Circuit Short To Battery,"fieldlogix,gist"
B2589,Unexpected Door Reversal During Close,"fieldlogix,gist"
B2590,Vehicle Park/Speed Signal Circuit Failure,"fieldlogix,gist"
B2591,Detent Signal Missing During Unlatch,"fieldlogix,gist"
B2592,PSD Not Fully Closed (Module Commanded Successfully),"fieldlogix,gist"
B2593,Power Sliding Door Opened During Module Close Command,"fieldlogix,gist"
B2594,No Movement Detected After an Unlatch During Power Open,"fieldlogix,gist"
B2595,Anti Theft Input Signal Circuit Failure,"fieldlogix,gist"
B2596,Headlamp Aim Output Relay Circuit Short To Battery,"fieldlogix,gist"
B2597,Headlamp Aim Output Relay Circuit Failure,"fieldlogix,gist"
B2598,Headlamp Relay Circuit Failure,"fieldlogix,gist"
B2599,Tailgate Release Open Circuit,"fieldlogix,gist"
B2600,Double Locking Door Motor Frozen,"fieldlogix,gist"
B2601,No Latch Signal Sensed on Closing and Door Reversed,"fieldlogix,gist"
B2602,Missing Latch Signal During Power Sliding Door Unlatch,"fieldlogix,gist"
B2603,PSD Not Fully Closed During Self-Test,"fieldlogix,gist"
B2604,Power Sliding Door On/Off Switch Open Circuit,"fieldlogix,gist"
B2605,Disable Signal Open Circuit,"fieldlogix,gist"
B2606,A/C Temperature Sensor Out of Range,"fieldlogix,gist"
C1091,Speed Wheel Sensor All Coherency Failure,"fieldlogix,gist"
C1095,ABS Hydraulic Pump Motor Circuit Failure,"fieldlogix,gist"
C1096,ABS Hydraulic Pump Motor Circuit Open,"fieldlogix,gist"
C1097,ABS Hydraulic Pump Motor Circuit Short To Ground,"fieldlogix,gist"
C1098,ABS Hydraulic Pump Motor Circuit Short To Battery,"fieldlogix,gist"
C1100,ABS Pump Switch Circuit Failure,"fieldlogix,gist"
C1101,ABS Hydraulic Valve Circuit Failure,"fieldlogix,gist"
C1102,ABS Acceleration Switch Circuit Failure,"fieldlogix,gist"
C1103,ABS Hydraulic Brake Switch Circuit Failure,"fieldlogix,gist"
C1104,Traction Control Active Lamp - Circuit Short to Battery,"fieldlogix,gist"
